"class","delay_bucket","total_passengers","satisfaction_rate"
"Business","No Delay","27986","71.37"
"Business","Short (1-15 min)","10863","70.17"
"Business","Moderate (16-45 min)","6235","64.80"
"Business","Long (46-120 min)","3427","62.10"
"Business","Severe (120+ min)","1154","61.96"
"Eco","No Delay","26487","21.36"
"Eco","Short (1-15 min)","9762","17.42"
"Eco","Severe (120+ min)","1198","14.02"
"Eco","Long (46-120 min)","3419","12.66"
"Eco","Moderate (16-45 min)","5879","12.60"
"Eco Plus","No Delay","4195","28.84"
"Eco Plus","Short (1-15 min)","1559","23.16"
"Eco Plus","Severe (120+ min)","188","17.55"
"Eco Plus","Moderate (16-45 min)","979","15.63"
"Eco Plus","Long (46-120 min)","573","15.18"
